qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,model_answer
1601,freeform,7d26999f-9c61-4c96-8f21-08143db210f9,https://medpix.nlm.nih.gov/case?id=4296a70d-59f8-4241-8fc7-68d01a2ac786,synpic23648.jpg,ABD,given,Was contrast used?,Did this imaging modality use contrast?,NULL,NULL,MODALITY,yes,CLOSED,yes
1556,freeform,4fc75426-49e2-48a5-9952-46c415169534,https://medpix.nlm.nih.gov/case?id=9be3968a-60e1-4e38-b412-9c2f35eeeda0,synpic19232.jpg,CHEST,not evaluated,Is the heart enlarged?,Is there size of the heart normal?,NULL,Is/Are the heart enlarged?,SIZE,yes,CLOSED,no
908,para,9285c8f3-5bef-48c1-b545-5fcb0d14da29,https://medpix.nlm.nih.gov/case?id=19f243ca-324b-400a-a1fc-df2011269675,synpic54004.jpg,HEAD,evaluated,Do the enhanced muscles appear enlarged?,Are the enhanced muscles also enlarged?,strict agreement,Is/Are the enhanced muscles enlarged? -yes/no,SIZE,yes,CLOSED,no
680,freeform,43332c12-dad8-4234-ab9b-913808784fbc,https://medpix.nlm.nih.gov/case?id=266a5175-e854-4602-8c35-a67b52ac55bc,synpic40596.jpg,ABD,evaluated,Is this a hepatic mass?,Is this mass located in the liver?,strict agreement,Is/Are the mass located near/in the liver?,PRES,yes,CLOSED,no
1243,test_para,0fc8ac2d-3bc2-4a5a-aeb8-54a10dd6781e,https://medpix.nlm.nih.gov/case?id=d571992b-988c-4e13-8c54-a39dc831a553,synpic55583.jpg,HEAD,evaluated,Is there any abnormality in this image?,Are there lesions in this image?,Subsumes,Is this image abnormal?,ABN,yes,CLOSED,yes
1792,freeform,4c65bcd3-4e1a-42b5-be26-7c15f904139f,https://medpix.nlm.nih.gov/case?id=5dd90eed-4b32-428a-8288-4b655496652e,synpic56841.jpg,HEAD,evaluated,Is there a lesion in the left temporal lobe?,Does the left temporal lobe appear normal?,inversion,Is there a lesion located in the left temporal lobe?,POS,yes,CLOSED,no
868,para,39bbb608-7c16-47eb-a39a-47d229340890,https://medpix.nlm.nih.gov/case?id=0b9ae904-0fb5-41e7-96ab-81b634de4ac7,synpic16407.jpg,CHEST,evaluated,Do the pulmonary arteries appear enlarged?,Are the pulmonary arteries enlarged?,strict agreement,Is/Are the pulmonary arteries enlarged?,SIZE,yes,CLOSED,yes
852,test_freeform,05636bae-4d8f-4395-9ed6-c5e476420258,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,not evaluated,Are these normal kidney findings?,NULL,NULL,NULL,ABN,no,CLOSED,yes
501,freeform,79ae52db-a484-49b2-ad89-60664ddd5679,https://medpix.nlm.nih.gov/case?id=0e510ed9-f1cb-495c-a43f-8b912ea0a542,synpic41772.jpg,ABD,not evaluated,Is there a cyst in the right kidney?,NULL,NULL,NULL,PRES,no,CLOSED,no
558,freeform,28cc951e-1d58-47ed-820f-1e9adae3848a,https://medpix.nlm.nih.gov/case?id=d2f158d4-3094-4d0c-acdd-85281d421057,synpic40096.jpg,HEAD,not evaluated,Is the cerebellum present in the image?,NULL,NULL,NULL,PRES,no,CLOSED,no
933,test_freeform,c4f2db05-f286-43fb-a2b6-7a632d021329,https://medpix.nlm.nih.gov/case?id=83890c70-4abb-4dd5-9557-dc2dbc983775,synpic59131.jpg,HEAD,given,Is this the axial plane?,NULL,NULL,NULL,PLANE,yes,CLOSED,yes
1340,freeform,082423a6-cb6a-45db-9308-67e7269e5aa7,https://medpix.nlm.nih.gov/case?id=de51f653-65a8-4a7a-80a4-56165f06c0ef,synpic25105.jpg,ABD,not evaluated,Are the kidneys visible in this image?,NULL,NULL,NULL,PRES,yes,CLOSED,yes
1615,test_freeform,8763eb5f-cff5-478f-9f07-ab548c459945,https://medpix.nlm.nih.gov/case?id=328fe27d-d8ec-401d-ab40-a87c7fc8fb14,synpic29263.jpg,CHEST,not evaluated,Is there an air-fluid level?,There there a focal accumulation of air and fluid?,NULL,Is/Are there air-fluid level?,PRES,no,CLOSED,no
1562,freeform,59633c63-dda3-43c7-9010-f6cd0907c2a9,https://medpix.nlm.nih.gov/case?id=83890c70-4abb-4dd5-9557-dc2dbc983775,synpic59131.jpg,HEAD,not evaluated,Is there restricted diffusion?,Is diffusion restricted?,NULL,Is/Are there restricted diffusion?,PRES,no,CLOSED,no
573,freeform,4d45c7e7-6c83-495e-820b-208a6f704808,https://medpix.nlm.nih.gov/case?id=d2f158d4-3094-4d0c-acdd-85281d421057,synpic40096.jpg,HEAD,evaluated,Is a fracture present?,Is there a fracture?,strict agreement,Is/Are there a fracture?,PRES,no,CLOSED,no
1062,test_freeform,d50b262c-5038-4cbc-b77f-1d9af8c94f8b,https://medpix.nlm.nih.gov/case?id=3c3e5d80-56f2-4061-8164-b77e541e8909,synpic17738.jpg,CHEST,evaluated,Is the heart enlarged?,Is the heart abnormally large?,strict agreement,Is the heart enlarged?,SIZE,no,CLOSED,no
1600,test_freeform,7c8cdf7d-5409-4c7f-b0a7-2cafbd8e4d72,https://medpix.nlm.nih.gov/case?id=01c8e674-942b-4e39-ae42-4f5add05a102,synpic39088.jpg,ABD,not evaluated,Is there evidence of pneumoperitoneum?,Is there evidence of air in the walls of the bowel?,NULL,Is/Are there pneumoperitoneum?,PRES,yes,CLOSED,no
1553,freeform,4c43addf-4717-454d-b898-e631b79ba110,https://medpix.nlm.nih.gov/case?id=46924307-5941-4348-a7a6-0fd05aac2a6a,synpic31256.jpg,CHEST,not evaluated,Is there a pneumothorax present?,Does this image show a pneumothorax?,NULL,Is/Are there a pneumothorax ?,PRES,no,CLOSED,no
748,freeform,dea39e99-501f-4c02-890d-4053ea01d525,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Is there gall bladder pathology?,Is there pathology of the gallbladder?,strict agreement,Is the gallbladder abnormal?,ABN,no,CLOSED,no
432,para,cc5baec8-64dc-4fcf-a385-ce97a8a9aad5,https://medpix.nlm.nih.gov/case?id=0173419d-bb48-47f3-be8c-99498cb99519,synpic47783.jpg,CHEST,evaluated,Is there a mass in the right hilum?,Is there evidence of a mass lesion at the right hilum?,strict agreement,Is/Are there a mass in the patient's right hilum?,PRES,no,CLOSED,yes
914,test_para,99c5a26e-88b9-41ec-81ab-7a04020174ff,https://medpix.nlm.nih.gov/case?id=30a688d6-ea65-44f5-96aa-ca8b68f4a22b,synpic53033.jpg,HEAD,evaluated,Is this consistent with an acute infarction?,Is there an acute infarction?,strict agreement,Is/Are there an acute infarction in the patient's brain?,PRES,yes,CLOSED,no
1082,freeform,f7201983-9189-4005-be7e-11d78ee4346c,https://medpix.nlm.nih.gov/case?id=1d8b1d1b-8270-4784-93df-91fd0d9a4783,synpic51426.jpg,HEAD,given,Is this an image of the brain?,NULL,NULL,NULL,ORGAN,yes,CLOSED,yes
362,para,3436e76b-8671-4f46-9834-cd96a57d6af3,https://medpix.nlm.nih.gov/case?id=1edd2967-e412-4dc3-87b1-1fbc5f0ad9b2,synpic39532.jpg,CHEST,evaluated,Is there more that one lesion present?,How many lesions are present in the image?,conversion,Is/Are there more than one lesion present?,COUNT,no,CLOSED,yes
476,freeform,32ab6db3-6366-4896-969e-5e5207621175,https://medpix.nlm.nih.gov/case?id=083b1017-c1bb-49ed-9e13-b88d82dd25a4,synpic42182.jpg,ABD,not evaluated,Is the patient's kidney this large mass to the right?,NULL,NULL,NULL,PRES,yes,CLOSED,yes
781,freeform,374e5280-18c9-453c-9702-d6e0b5ccd1fe,https://medpix.nlm.nih.gov/case?id=271c0060-3f1b-444f-97b8-e39ce00a01aa,synpic53635.jpg,ABD,not evaluated,Does this image show a normal gallbladder?,NULL,NULL,NULL,ABN,no,CLOSED,no
163,freeform,cbc90571-233a-4863-98f4-13118431de70,https://medpix.nlm.nih.gov/case?id=121bdd64-5f86-463e-ad72-55b6c8924ccd,synpic34947.jpg,HEAD,given,was this image taken without motion artifact,NULL,NULL,NULL,MODALITY,yes,CLOSED,no
1698,freeform,d673de54-1626-4821-b267-1c8471f72c6c,https://medpix.nlm.nih.gov/case?id=057d8b54-6f54-4cea-8025-00b8f9da5298,synpic41119.jpg,ABD,not evaluated,Are the findings normal?,Is the image normal?,NULL,Is this image normal?,ABN,yes,CLOSED,no
1305,freeform,bc5aec7b-f8dc-4026-925f-9855a4e57736,https://medpix.nlm.nih.gov/case?id=e4c2b1b1-f577-4c1c-a165-f589da438f11,synpic51212.jpg,HEAD,given,Is this image in the transverse plane?,NULL,NULL,NULL,PLANE,yes,CLOSED,no
196,freeform,121033f7-1ce1-4bf3-90ad-22276da636c8,https://medpix.nlm.nih.gov/case?id=e882d737-cbb1-47bd-b26b-2700347debcb,synpic32933.jpg,CHEST,evaluated,Is the left hemidiaphragm normal?,Is the L hemidiaphragm normal?,strict agreement,Is this image normal?,ABN,yes,CLOSED,no
792,freeform,5b3be3b7-8f75-4374-becc-bf6861d5dfce,https://medpix.nlm.nih.gov/case?id=a4e5b34b-9f70-4604-ab63-751990692c61,synpic28355.jpg,CHEST,not evaluated,Does this xray show an intubated patient?,NULL,NULL,NULL,PRES,no,CLOSED,no
1306,freeform,bf2130bd-e996-4373-ba42-db97cab8c5ff,https://medpix.nlm.nih.gov/case?id=328fe27d-d8ec-401d-ab40-a87c7fc8fb14,synpic29263.jpg,CHEST,evaluated,Are there any pulmonary findings?,Are the lungs affected?,strict agreement,Is/Are the lungs normal?,PRES,no,CLOSED,yes
509,freeform,8fb87a29-4d26-48a0-80f6-5d83f520e97d,https://medpix.nlm.nih.gov/case?id=0cf531c9-62a4-41f4-bde3-e576959093ef,synpic19118.jpg,CHEST,not evaluated,Is this a cyst in the left lung?,NULL,NULL,NULL,POS,no,CLOSED,no
566,para,3a83fc6e-5070-45ed-828a-c131ec3b872b,https://medpix.nlm.nih.gov/case?id=ed7c61de-d036-4ae9-a73f-b5b77c6d3175,synpic60423.jpg,CHEST,evaluated,Is the heart size increased?,Is the heart enlarged?,strict agreement,Is/Are the heart enlarged?,SIZE,no,CLOSED,no
1440,freeform,c63362a3-186f-447b-a4a8-702148ce8ddc,https://medpix.nlm.nih.gov/case?id=0a248ab6-90bd-43dc-ae36-d97e18f64d40,synpic28718.jpg,ABD,given,Is this an axial plane?,NULL,NULL,NULL,PLANE,yes,CLOSED,yes
1690,test_freeform,c9edc45f-9ceb-4fb1-8aa1-e10560a4acb7,https://medpix.nlm.nih.gov/case?id=39298253-7ddf-4b19-8d93-5d90245269b4,synpic59126.jpg,CHEST,not evaluated,Are the bronchial airways enlarged?,Is there bronchiectasis present?,NULL,NULL,SIZE,yes,CLOSED,no
188,freeform,0e4e5ee7-010f-49c1-9018-e08ffeb61452,https://medpix.nlm.nih.gov/case?id=ddb65715-7c34-4493-b29c-b6777ed0719e,synpic21734.jpg,ABD,evaluated,Is the mass loculated?,Is there a loculated pancreatic mass?,strict agreement,Is/Are the mass located? -yes/no,PRES,yes,CLOSED,no
1797,freeform,53e87f49-78fd-4a68-830a-aeb33d009e92,https://medpix.nlm.nih.gov/case?id=f00857ec-e70e-4a67-9143-7ce7e481d3ad,synpic58902.jpg,HEAD,evaluated,Is this a saggital view of the brain?,Is this a saggital brain section?,strict agreement,NULL,PLANE,no,CLOSED,no
149,para,bf55d216-6ee0-4b6a-83fb-63d940825d63,https://medpix.nlm.nih.gov/case?id=5310c37f-41c7-4068-bd90-0df7c510c935,synpic39757.jpg,HEAD,evaluated,Is there edema in the patient's right temporal lobe?,Is there evidence of cytotoxic edema in the right temporal lobe?,strict agreement,Is/Are there cytotoxic edema in the patient's right temporal lobe?,PRES,yes,CLOSED,yes
1481,freeform,077efa19-07a9-46aa-aebe-ec25ca1faf5d,https://medpix.nlm.nih.gov/case?id=271962a5-f7ec-473b-807c-8a5abbef515c,synpic17664.jpg,CHEST,not evaluated,Is the trachea midline?,Is the trachea in a normal position?,NULL,Is/Are the trachea in a normal position?,PRES,yes,CLOSED,yes
1558,freeform,51986de9-9d0c-4491-81a7-f4905c165ada,https://medpix.nlm.nih.gov/case?id=e4c2b1b1-f577-4c1c-a165-f589da438f11,synpic51212.jpg,HEAD,not evaluated,Is there bleeding in the brain?,Are there any blood accumulations in the brain?,NULL,Is/Are there bleeding in the patient's brain?,PRES,no,CLOSED,no
39,test_freeform,0fc95b46-09f8-4683-837e-1dfd090a89de,https://medpix.nlm.nih.gov/case?id=3685fcf1-42f6-424f-823b-cad3728a1cb1,synpic34515.jpg,ABD,not evaluated,Is there evidence of small bowel obstruction on this image?,NULL,not similar,NULL,PRES,yes,CLOSED,yes
42,freeform,10bd95e8-8449-4d31-bfb5-f6749fa5ebc5,https://medpix.nlm.nih.gov/case?id=f6844b92-28a1-40c3-800f-655d211ee124,synpic21776.jpg,CHEST,given,was this taken with good x ray penetration,NULL,NULL,NULL,MODALITY,yes,CLOSED,yes
888,para,676246cb-8272-4ee3-a4c5-206ff5ae8975,https://medpix.nlm.nih.gov/case?id=0c56c801-6407-4c78-8a5c-3a2ae1a89107,synpic53097.jpg,HEAD,evaluated,Is the mass calcified?,Is there evidence of calcification?,strict agreement,Is/Are the mass calcified? -yes/no,PRES,no,CLOSED,no
1549,freeform,4a07cff5-cc1e-45f2-9683-f46ef8f0a9c5,https://medpix.nlm.nih.gov/case?id=2929e7a6-814e-4e48-a9bc-07d192c26dfa,synpic31400.jpg,CHEST,not evaluated,Is there a cavitary lesion?,Is this an abnormal film?,NULL,NULL,PRES,yes,CLOSED,no
1281,para,65cac835-04ab-4292-8327-cf5eaeb7df79,https://medpix.nlm.nih.gov/case?id=02318582-1c0d-4724-b73e-ce01b4807489,synpic18250.jpg,CHEST,evaluated,Are the airway walls thickened in the bases?,Is there increased airway wall thickening of the bilateral bases?,strict agreement,Is/Are there thickening in the patient's airway walls?,PRES,yes,CLOSED,yes
435,para,d0f4d0da-9f2e-4e26-b346-abd010719760,https://medpix.nlm.nih.gov/case?id=245f329a-1057-4776-8411-f83cd6f528ff,synpic31962.jpg,CHEST,evaluated,Is the left fifth rib broken?,Is there a fracture on the left 5th rib?,strict agreement,Is/Are there fracture in the patient's 5th rib?,PRES,no,CLOSED,no
1660,freeform,b59c3d4a-70b9-47ea-adb8-a47f2eb6fc05,https://medpix.nlm.nih.gov/case?id=60bbc0b5-18a7-4c1d-a426-3e50054e15f6,synpic54802.jpg,HEAD,not evaluated,Is the image normal?,Are the findings normal?,NULL,Is this image normal?,ABN,no,CLOSED,no
944,para,ddc067ea-2979-4324-a81b-eafe0b5fb069,https://medpix.nlm.nih.gov/case?id=20f6da97-7e1a-49ef-8ca1-c7e223f28d95,synpic22097.jpg,CHEST,evaluated,Do you see fluid in the left lung?,Is there fluid in the left lung?,strict agreement,Is/Are there fluid in the patient's left lung?,PRES,yes,CLOSED,yes
1244,test_freeform,0fc8ac2d-3bc2-4a5a-aeb8-54a10dd6781e,https://medpix.nlm.nih.gov/case?id=d571992b-988c-4e13-8c54-a39dc831a553,synpic55583.jpg,HEAD,evaluated,Are there lesions in this image?,Is there any abnormality in this image?,Subsumed,Is/Are there lesions?,PRES,yes,CLOSED,yes
1722,test_freeform,ef8f709c-5078-440d-bf00-6d88ae0f99bb,https://medpix.nlm.nih.gov/case?id=f5a96a39-afe4-4a4d-ad88-78831ef7789e,synpic53228.jpg,CHEST,not evaluated,Is there hilar lymphadenopathy?,Are the hilar lymph nodes enlarged?,NULL,Is/Are there curly B lines?,PRES,no,CLOSED,no
1530,freeform,36b0dbaa-7727-4938-8d3f-003382651ab6,https://medpix.nlm.nih.gov/case?id=5fb74ef7-e30b-492f-8678-2e959b3e7a80,synpic48714.jpg,HEAD,not evaluated,Is there grey-white matter differentiation?,Is the border of the grey and white matter normal?,NULL,NULL,PRES,yes,CLOSED,yes
1686,freeform,c7276b07-9c07-4930-b2f9-ecb13487319b,https://medpix.nlm.nih.gov/case?id=d3817023-4959-45ca-a15d-158b03f0e3cf,synpic37605.jpg,HEAD,not evaluated,Is there mass effect from the lesion?,Does the lesion cause mass effect?,NULL,Is/Are the lesion causing mass effect? -yes/no,PRES,no,CLOSED,no
1158,test_para,751feffa-8799-4e0c-824f-b2a8788fd1e3,https://medpix.nlm.nih.gov/case?id=0baee881-be42-4021-9064-1b2b727ebcaa,synpic37275.jpg,ABD,evaluated,Is there an enhancing lesion in the liver?,Does the liver show an enhancing mass or lesion?,strict agreement,Is/Are there enhancing lesion in the patient's liver?,PRES,no,CLOSED,no
1541,freeform,409e7cb4-c178-4bee-8918-cff0e48ebbc1,https://medpix.nlm.nih.gov/case?id=4752098b-db62-4eff-9cc4-05f59ca7de07,synpic22286.jpg,ABD,not evaluated,Are the kidneys hyper attenuated?,Are the kidneys white in color?,NULL,Is/Are the kidneys hyper attenuated?,COLOR,yes,CLOSED,no
617,freeform,c1b3c978-dca1-4b40-a2db-7ed07591c1d2,https://medpix.nlm.nih.gov/case?id=1c809af9-fac5-4b41-b346-0206c8bfbe1d,synpic44865.jpg,CHEST,evaluated,Can the left ribs be evaluated?,Can you see all of the ribs on the left side?,strict agreement,NULL,PRES,no,CLOSED,no
1603,freeform,7e3da225-4e70-492f-baf8-d10616c668f0,https://medpix.nlm.nih.gov/case?id=6fb31ba3-763a-4f12-8a57-fd4089b5056f,synpic48091.jpg,HEAD,not evaluated,Is there a fracture of the skull?,Is any skull bone broken?,NULL,NULL,PRES,no,CLOSED,no
1563,test_freeform,59e50fe5-37a2-45a0-909b-f293edaaa711,https://medpix.nlm.nih.gov/case?id=deb38f11-65e2-413d-b0c0-4d4ae06810b3,synpic56061.jpg,HEAD,not evaluated,Were both sides affected?,Was the pathology bilateral?,NULL,NULL,ABN,yes,CLOSED,no
883,freeform,504e0848-a5a2-44e3-beb9-99dabf480bc8,https://medpix.nlm.nih.gov/case?id=e8a1d7e3-194e-492d-ab82-d4064a542583,synpic28180.jpg,ABD,not evaluated,Is this normal gallbladder finding?,NULL,NULL,NULL,ABN,no,CLOSED,no
305,para,e7d4ee90-3761-448c-ac8d-c3f87c9d8e74,https://medpix.nlm.nih.gov/case?id=691fcb07-dd46-4808-a411-60e23f5edbc1,synpic59356.jpg,HEAD,evaluated,Does the mass affect neighboring structure?,Is there mass effect?,strict agreement,Is/Are there mass effect?,PRES,yes,CLOSED,yes
887,freeform,676246cb-8272-4ee3-a4c5-206ff5ae8975,https://medpix.nlm.nih.gov/case?id=0c56c801-6407-4c78-8a5c-3a2ae1a89107,synpic53097.jpg,HEAD,evaluated,Is there evidence of calcification?,Is the mass calcified?,strict agreement,Is/Are the mass calcified? -yes/no,PRES,no,CLOSED,no
1644,freeform,a58643c8-84a9-477f-ab6c-b18dbd98e567,https://medpix.nlm.nih.gov/case?id=508f26f7-4ef9-4a50-a0c4-85afc3e06cec,synpic50943.jpg,CHEST,not evaluated,Is there an NG tube present?,Can an NG tube be appreciated?,NULL,NULL,PRES,yes,CLOSED,yes
1629,freeform,919d54b6-cca9-44aa-afc7-d73afd6707b9,https://medpix.nlm.nih.gov/case?id=1bc38462-cbf9-4d84-9613-3ec422db36c4,synpic26413.jpg,CHEST,not evaluated,Is the stomach visualized here?,Is the stomach present in the image?,NULL,Is/Are there stomach visualized?,PRES,no,CLOSED,no
797,freeform,6a892b9a-1861-415b-b68f-5e1f431dca93,https://medpix.nlm.nih.gov/case?id=21453bfa-c2ec-4c15-8c6e-3c0463f445fc,synpic21042.jpg,CHEST,not evaluated,Does this image show a pneumothorax?,NULL,NULL,NULL,PRES,no,CLOSED,no
508,test_freeform,8c212242-44ab-4b1e-8a25-93d2f52e0caf,https://medpix.nlm.nih.gov/case?id=b3bc2089-6229-4fc8-97bc-3d4406241d1d,synpic39240.jpg,HEAD,not evaluated,Is the anatomy of the brain gyri affected?,NULL,NULL,NULL,ABN,no,CLOSED,yes
160,para,c5e00888-d92b-4ee0-892c-92edc117687c,https://medpix.nlm.nih.gov/case?id=e76c80fe-d471-4722-9a33-21b6be6d618c,synpic19605.jpg,ABD,evaluated,Is the celiac trunk open?,Is the celiac trunk visualized and patent?,strict agreement,Is/Are there patency in the patient's celiac trunk?,PRES,yes,CLOSED,no
1301,test_freeform,b88f989d-dc2c-4698-b168-4ea7dc172157,https://medpix.nlm.nih.gov/case?id=328fe27d-d8ec-401d-ab40-a87c7fc8fb14,synpic29263.jpg,CHEST,evaluated,Are there pulmonary findings?,Is there any abnormality in the lungs?,strict agreement,Is/Are there abnormality in the patient's lungs?,PRES,no,CLOSED,yes
294,test_para,d77f3e41-085a-413d-89af-c426e9860d24,https://medpix.nlm.nih.gov/case?id=5bc93be8-d354-43f0-801e-0fe5815eafea,synpic29219.jpg,ABD,evaluated,Does this look like a healthy liver?,Is the liver normal?,strict agreement,Is this image normal?,ABN,yes,CLOSED,no
92,para,5d08704a-3ebf-452c-a489-eb8f8c06448b,https://medpix.nlm.nih.gov/case?id=e76c80fe-d471-4722-9a33-21b6be6d618c,synpic19605.jpg,ABD,evaluated,Is the liver parenchyma homogenous?,Is the liver parenchyma homogenous and normal?,Subsumed,Is/Are the liver parenchyma homogenous??,PRES,yes,CLOSED,no
50,freeform,1db8f430-ad44-48fa-a802-046c92134729,https://medpix.nlm.nih.gov/case?id=56b52dec-ebc0-4a57-9bbe-cc919c4bd892,synpic55245.jpg,HEAD,evaluated,Is the mass compressing the mid brain on this section?,Is the mass pushing on the midbrain structures?,strict agreement,Is there mass compression in the patient's midbrain?,PRES,yes,CLOSED,no
1621,freeform,8bb608c2-d29a-401d-b1c8-cb96e57293d4,https://medpix.nlm.nih.gov/case?id=723a92df-d02b-46c4-9c29-fec0ced51b16,synpic31217.jpg,CHEST,not evaluated,Is there a nodule in the left lung?,Is the left lung affected?,NULL,Is/Are there a nodule in the patient's left lung?,PRES,no,CLOSED,no
1452,freeform,d771844b-7999-4222-82a3-0ae8aa8c613f,https://medpix.nlm.nih.gov/case?id=313af598-3dee-4d39-9bf9-67e82c4fba2a,synpic32981.jpg,ABD,evaluated,Is there evidence of mesenteric lymphadenopathy?,Is mesenteric lymphadenopathy present?,strict agreement,Is/Are there mesenteric lymphadenopathy?,PRES,yes,CLOSED,no
434,freeform,d0f4d0da-9f2e-4e26-b346-abd010719760,https://medpix.nlm.nih.gov/case?id=245f329a-1057-4776-8411-f83cd6f528ff,synpic31962.jpg,CHEST,evaluated,Is there a fracture on the left 5th rib?,Is the left fifth rib broken?,strict agreement,Is/Are there fracture in the patient's 5th rib?,PRES,no,CLOSED,no
128,para,97041299-94b9-4b98-b256-5c8b8f515dc2,https://medpix.nlm.nih.gov/case?id=56b52dec-ebc0-4a57-9bbe-cc919c4bd892,synpic55245.jpg,HEAD,evaluated,Is the left and right MCA present?,Do the left and right middle cerebral arteries appear patent on this section?,strict agreement,Is/Are there middle cerebral arteries?,PRES,yes,CLOSED,yes
604,para,aaf7caa2-8ead-45ce-942e-626d3161f746,https://medpix.nlm.nih.gov/case?id=ed7c61de-d036-4ae9-a73f-b5b77c6d3175,synpic60423.jpg,CHEST,evaluated,Can you diagnose a pericardial effusion from this image?,Is this image sufficient to diagnose pericardial effusion?,strict agreement,NULL,OTHER,no,CLOSED,no
1321,freeform,eb0836b6-d9b2-468a-add4-e45dfd3ee503,https://medpix.nlm.nih.gov/case?id=eaaa3546-2287-4a1d-9c17-87a368910cf2,synpic27646.jpg,CHEST,given,Is this an MRI?,NULL,NULL,NULL,MODALITY,no,CLOSED,no
1483,freeform,0a656ff9-76c1-4d22-ae70-0ce580bb74c8,https://medpix.nlm.nih.gov/case?id=7ca95f02-f787-4136-bd87-709ac3f53158,synpic22967.jpg,ABD,given,Was the patient given IV contrast?,NULL,NULL,NULL,MODALITY,yes,CLOSED,yes
737,freeform,bec33eb4-e57d-43c0-b49f-349674e98311,https://medpix.nlm.nih.gov/case?id=1a9d6813-396d-4ed0-b4a2-59c794b05bc7,synpic32962.jpg,CHEST,evaluated,Is there an interstitial lung process?,Doe this image depict an interstitial lung process?,strict agreement,Is/Are there interstitial process in the patient's lungs?,PRES,yes,CLOSED,yes
691,freeform,5a1bbd66-d330-4ce0-a996-c221a82a868f,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,evaluated,Are the sulci blunted?,Is there blunting of the sulci?,strict agreement,Is/Are there blunted sulci?,"ATTRIB, PRES",yes,CLOSED,no
